column_name,info
ems_dia_bsl,"{'data_type': 'category_int', 'value_range': {'null_count': 6630, 'null_percentage': 33.42, 'category_values': [1, 2, 3], 'category_count': 3}}"
ems_dia_hba1c,"{'data_type': 'category_int', 'value_range': {'null_count': 18406, 'null_percentage': 92.79, 'category_values': [1, 2], 'category_count': 2}}"
ems_dia_contrl,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ems_pct,"{'data_type': 'category_int', 'value_range': {'null_count': 19832, 'null_percentage': 99.98, 'category_values': [1, 2], 'category_count': 2}}"
ems_pct_status,"{'data_type': 'category_int', 'value_range': {'null_count': 19829, 'null_percentage': 99.96, 'category_values': [1, 2], 'category_count': 2}}"
ems_szjsqfz,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1], 'category_count': 1}}"
abli_gz_sl,"{'data_type': 'category_int', 'value_range': {'null_count': 18960, 'null_percentage': 95.58, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
abli_hbyh_is,"{'data_type': 'category_int', 'value_range': {'null_count': 38, 'null_percentage': 0.19, 'category_values': [1, 2], 'category_count': 2}}"
abli_al,"{'data_type': 'category_int', 'value_range': {'null_count': 6480, 'null_percentage': 32.67, 'category_values': [1, 2, 3], 'category_count': 3}}"
abli_bl,"{'data_type': 'category_int', 'value_range': {'null_count': 6484, 'null_percentage': 32.69, 'category_values': [1, 2, 3], 'category_count': 3}}"
abli_ppt,"{'data_type': 'category_int', 'value_range': {'null_count': 6725, 'null_percentage': 33.9, 'category_values': [1, 2, 3], 'category_count': 3}}"
abli_ascites,"{'data_type': 'category_int', 'value_range': {'null_count': 19563, 'null_percentage': 98.62, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
abre_sz_sl,"{'data_type': 'category_int', 'value_range': {'null_count': 19602, 'null_percentage': 98.82, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
abre_staging,"{'data_type': 'category_int', 'value_range': {'null_count': 6491, 'null_percentage': 32.72, 'category_values': [1, 2, 3, 4, 5], 'category_count': 5}}"
abre_dialysis,"{'data_type': 'category_int', 'value_range': {'null_count': 19663, 'null_percentage': 99.13, 'category_values': [1, 2, 3], 'category_count': 3}}"
abre_law,"{'data_type': 'category_int', 'value_range': {'null_count': 19763, 'null_percentage': 99.63, 'category_values': [1, 2], 'category_count': 2}}"
ds_ob_history,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1,2]', '[1]', '[2]', '[]'], 'category_count': 4}}"
ds_sg_is,"{'data_type': 'category_int', 'value_range': {'null_count': 19, 'null_percentage': 0.1, 'category_values': [1, 2], 'category_count': 2}}"
ds_xhx_is,"{'data_type': 'category_int', 'value_range': {'null_count': 8, 'null_percentage': 0.04, 'category_values': [1, 2], 'category_count': 2}}"
ds_jj_is,"{'data_type': 'category_int', 'value_range': {'null_count': 5, 'null_percentage': 0.03, 'category_values': [1, 2], 'category_count': 2}}"
ds_jj_date,"{'data_type': 'category_int', 'value_range': {'null_count': 19231, 'null_percentage': 96.95, 'category_values': [1, 2, 3], 'category_count': 3}}"
ds_xtxsdbs,"{'data_type': 'unknown', 'value_range': {'range': 'empty'}}"
ds_other,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
bs_redca,"{'data_type': 'category_int', 'value_range': {'null_count': 16203, 'null_percentage': 81.68, 'category_values': [1, 2, 3, 4, 5], 'category_count': 5}}"
bs_whiteca,"{'data_type': 'category_int', 'value_range': {'null_count': 17824, 'null_percentage': 89.86, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
bs_pa,"{'data_type': 'category_int', 'value_range': {'null_count': 19105, 'null_percentage': 96.31, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
bs_ac,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[]'], 'category_count': 2}}"
bs_obd,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ah_bp,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ah_drug,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ah_food,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ah_other,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ah_gmbx,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ah_mygnza,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[]'], 'category_count': 2}}"
ah_zsmyxjb,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
preg_week,"{'data_type': 'category_int', 'value_range': {'null_count': 19824, 'null_percentage': 99.94, 'category_values': [1], 'category_count': 1}}"
preg_hap,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[]'], 'category_count': 1}}"
aira_pdvdih,"{'data_type': 'category_int', 'value_range': {'null_count': 7, 'null_percentage': 0.04, 'category_values': [1, 2, 3], 'category_count': 3}}"
aira_intub,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2, 3], 'category_count': 3}}"
aira_lower_no,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
aira_lower,"{'data_type': 'category_int', 'value_range': {'null_count': 8, 'null_percentage': 0.04, 'category_values': [1, 2], 'category_count': 2}}"
aira_mall_is,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
aira_mall,"{'data_type': 'category_int', 'value_range': {'null_count': 622, 'null_percentage': 3.14, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
